"Päivämäärä";"Saaja/Maksaja";"Selite";"Viite/Viesti";"Määrä"
"27.9.2022";"VR-YHTYMÄ OY";"TILISIIRTO";"'00000020922557047700";"-38"
"26.9.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'5623364995";"-173,77"
"26.9.2022";"";"PALVELUMAKSU";"'PALVELUMAKSUT AJALTA 1. - 31.8.2022";"-2"
"26.9.2022";"Avecra Oy 28709 ravintola";"KORTTIOSTO";"'Helsinki";"-3,2"
"26.9.2022";"K-Supermarket Derby";"KORTTIOSTO";"'Espoo";"-5,89"
"23.9.2022";"CLAS OHLSON 50";"KORTTIOSTO";"'ESPOO";"-15,98"
"23.9.2022";"CLAS OHLSON 50";"KORTTIOSTO";"'ESPOO";"-17,89"
"22.9.2022";"VR-YHTYMÄ OY";"TILISIIRTO";"'00000020922542723204";"-38"
"22.9.2022";"SQUARESPACE INC.";"KORTTIOSTO";"'HTTPSSQUARESP";"-18,6"
"22.9.2022";"K-Supermarket Derby";"KORTTIOSTO";"'Espoo";"-53,28"
"21.9.2022";"CLAS OHLSON 57";"KORTTIOSTO";"'HELSINKI";"-131,92"
"20.9.2022";"BUFFA PRISMA HAMEENLINNA";"KORTTIOSTO";"'HAMEENLINNA";"-13,5"
"19.9.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'00000000005477734315";"-24,9"
"19.9.2022";"KLARNA AB";"TILISIIRTO";"'9900100000042651088 BILTEMA.FI,";"-22,7"
"19.9.2022";"K-Supermarket Derby";"KORTTIOSTO";"'Espoo";"-18,88"
"16.9.2022";"HSL Mobiili";"KORTTIOSTO";"'HSL";"-2,5"
"16.9.2022";"IKEA VANTAA RAVINTOLA";"KORTTIOSTO";"'VANTAA";"-11,98"
"15.9.2022";"DNA WELHO OY";"TILISIIRTO";"'00664799948902023826";"-28,17"
"15.9.2022";"VR-YHTYMÄ OY";"TILISIIRTO";"'00000020922524122742";"-10,7"
"15.9.2022";"PRISMA SELLO";"KORTTIOSTO";"'ESPOO";"-23,73"
"15.9.2022";"K-market Maununneva";"KORTTIOSTO";"'HELSINKI";"-3,09"
"14.9.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'5600232778";"-1944,38"
"13.9.2022";"ADOBE PHOTOGPHY PLAN";"KORTTIOSTO";"'ADOBE.COM";"-12,39"
"12.9.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'00000000005440800865";"-61,9"
"12.9.2022";"NISSEN SELLO";"KORTTIOSTO";"'ESPOO";"-7,9"
"12.9.2022";"PRISMA SELLO";"KORTTIOSTO";"'ESPOO";"-69,82"
"5.9.2022";"DNA Oyj";"TILISIIRTO";"'12209513225020814175";"-18,98"
"5.9.2022";"PRISMA SELLO";"KORTTIOSTO";"'ESPOO";"-33,84"
"5.9.2022";"Subway Espoo Otaniemi Aal";"KORTTIOSTO";"'ESPOO";"-11,8"
"2.9.2022";"ABC KELJONKANGAS";"KORTTIOSTO";"'JYVASKYLA";"-60"
"1.9.2022";"ABC VAAJAKOSKI";"KORTTIOSTO";"'JYVASKYLA";"-9,6"
"1.9.2022";"0448 NESTE HEINOLA VIERUM";"KORTTIOSTO";"'VIERUMAKI";"-5,8"
"1.9.2022";"ABC KELJONKANGAS";"KORTTIOSTO";"'JYVASKYLA";"-2,79"
"31.8.2022";"IKEA ESPOO ITSEPALVELUKAS";"KORTTIOSTO";"'ESPOO";"-41,44"
"31.8.2022";"K-Supermarket Derby";"KORTTIOSTO";"'Espoo";"-49,09"
"31.8.2022";"NETFLIX INTERNATIONAL B.V";"KORTTIOSTO";"'Amsterdam";"-15,99"
"31.8.2022";"Compass Group Finland Oy";"KORTTIOSTO";"'Espoo";"-2,7"
"30.8.2022";"Foodora Finland";"KORTTIOSTO";"'Vantaa";"-22,3"
"30.8.2022";"MCD NIITTYKUMPU";"KORTTIOSTO";"'ESPOO";"-24,35"
"29.8.2022";"NESTE EXPRESS ESPOO OTAN.";"KORTTIOSTO";"'ESPOO";"-10,16"
"29.8.2022";"ALEPA OTANIEMI UUSI";"KORTTIOSTO";"'ESPOO";"-2,95"
"29.8.2022";"K-Supermarket Derby";"KORTTIOSTO";"'Espoo";"-37,4"
"29.8.2022";"CLAS OHLSON 236";"KORTTIOSTO";"'ESPOO";"-6,99"
"29.8.2022";"ALEPA OTANIEMI UUSI";"KORTTIOSTO";"'ESPOO";"-9,99"
"26.8.2022";"ALEPA OTANIEMI UUSI";"KORTTIOSTO";"'ESPOO";"-16,02"
"26.8.2022";"Compass Group Finland Oy";"KORTTIOSTO";"'Espoo";"-11,3"
"25.8.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'00000000005551274872";"-50"
"25.8.2022";"Compass Group Finland Oy";"KORTTIOSTO";"'ESPOO";"-2,7"
"23.8.2022";"VFI*SKY EXPRESS";"KORTTIOSTO";"'HELSINKI";"-9,5"
"23.8.2022";"VFI*Adomex";"KORTTIOSTO";"'HYVINKAA";"-7"
"22.8.2022";"VFI*Teknologforeningen";"KORTTIOSTO";"'ESPOO";"-5,35"
"18.8.2022";"AALTO TIETOTEKN";"KORTTIOSTO";"'Espoo";"-2,7"
"15.8.2022";"VFI*Teknologforeningen";"KORTTIOSTO";"'ESPOO";"-5,35"
"15.8.2022";"Compass Group Finland Oy";"KORTTIOSTO";"'Espoo";"-11,3"
"15.8.2022";"ADOBE PHOTOGPHY PLAN";"KORTTIOSTO";"'ADOBE.COM";"-12,39"
"14.8.2022";"KLARNA AB";"TILISIIRTO";"'XA42CE5U4XITAIFQQEIES2OJXB";"-53,1"
"13.8.2022";"VR-YHTYMÄ OY";"TILISIIRTO";"'00000020822433770110";"-13"
"11.8.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'5515603010";"-50"
"11.8.2022";"BESTSELLER";"K-OSTO KORJ";"'Amsterdam";"79,99"
"10.8.2022";"PRISMA SELLO";"KORTTIOSTO";"'ESPOO";"-30,65"
"10.8.2022";"HSL Mobiili";"KORTTIOSTO";"'HSL";"-2,5"
"10.8.2022";"KOTIPIZZA SELLO";"KORTTIOSTO";"'Espoo";"-16,9"
"9.8.2022";"HSL Mobiili";"KORTTIOSTO";"'HSL";"-2,5"
"8.8.2022";"VR-YHTYMÄ OY";"TILISIIRTO";"'00000020822418598485";"-15"
"8.8.2022";"ALEPA OTANIEMI UUSI";"KORTTIOSTO";"'ESPOO";"-22,82"
"2.8.2022";"PAYTRAIL OYJ";"TILISIIRTO";"'00000000005490703226";"-50"
"1.8.2022";"DNA Oyj";"TILISIIRTO";"'12208247687020814174";"-18,9"
"1.8.2022";"VFI*Teknologforeningen";"KORTTIOSTO";"'ESPOO";"-5,35"
"1.8.2022";"NETFLIX INTERNATIONAL B.V";"KORTTIOSTO";"'Amsterdam";"-15,99"
"1.8.2022";"BESTSELLER";"KORTTIOSTO";"'Amsterdam";"-79,99"
